HST_ID,X,X_err,Y,Y_err,F606W_Vegamag,F606W_mag_err,F814W_Vegamag,F814W_mag_err,N_detect,HST_Field,F098M_Vegamag,F098M_mag_err,F139M_Vegamag,F139M_mag_err,F153M_Vegamag,F153M_mag_err,F167N_Vegamag,F167N_mag_err,F130N_Vegamag,F130N_mag_err,GaiaDR3_ID,Gmag,BPmag,RPmag,RA,DEC,distance
GB00973172,4564.269,0.014,4912.850,0.006,20.465,0.002,18.738,0.010,4,HD43_ACSWFC,17.618,0.006,16.468,0.006,16.233,0.010,16.040,0.014,,,4057339301118975616,19.869,21.312,18.929,267.7550434,-29.0655748,0.6823342610823533
GB07038238,4597.382,0.140,4900.961,0.048,24.453,0.004,21.074,0.029,4,HD43_ACSWFC,19.157,0.015,17.215,0.010,16.839,0.016,16.623,0.023,,,,,,,267.7546226,-29.0657070,0.9251942739747523
GB12075196,4559.596,0.129,4890.745,0.148,25.323,,21.793,0.116,3,HD43_ACSWFC,19.905,0.021,17.996,0.015,17.671,0.025,17.403,0.035,,,,,,,267.7551041,-29.0658207,1.355699064404751
GB14672774,4555.304,0.089,4942.746,0.081,25.152,0.018,22.119,0.065,4,HD43_ACSWFC,20.160,0.025,18.406,0.019,18.033,0.032,17.866,0.049,,,,,,,267.7551571,-29.0652424,1.446849533011611
GB11928445,4623.032,0.053,4904.674,0.037,,,21.775,0.011,2,HD43_ACSWFC,19.794,0.020,17.778,0.013,17.454,0.022,17.137,0.029,,,,,,,267.7542964,-29.0656658,1.7610804766287436
GB18465121,4584.946,0.002,4963.091,0.072,,,22.608,0.043,2,HD43_ACSWFC,20.710,0.037,18.859,0.026,18.544,0.046,18.182,0.063,,,,,,,267.7547801,-29.0650164,1.848564859086688
GB06996157,4536.242,0.080,4900.588,0.118,25.045,,21.067,,2,HD43_ACSWFC,18.924,0.012,16.662,0.007,16.210,0.010,15.873,0.013,,,,,,,267.7554028,-29.0657122,1.9109418068938326
GB15489076,4614.387,0.141,4878.955,0.087,25.576,,22.221,0.083,3,HD43_ACSWFC,20.301,0.028,18.475,0.020,18.123,0.034,17.847,0.049,,,,,,,267.7544077,-29.0659519,2.0310069272412217
GB16374482,4631.525,0.245,4928.744,0.066,,,22.332,0.069,2,HD43_ACSWFC,20.597,0.034,18.749,0.024,18.386,0.041,18.256,0.067,,,,,,,267.7541883,-29.0653983,2.0825192249533253
GB02131526,4528.604,0.043,4902.360,0.051,23.410,,19.806,,2,HD43_ACSWFC,17.713,0.006,15.627,0.004,15.221,0.006,14.908,0.008,,,,,,,267.7554999,-29.0656925,2.1796556637648385
GB05248329,4633.478,0.023,4879.901,0.049,24.030,0.019,20.745,0.006,4,HD43_ACSWFC,18.795,0.011,16.939,0.008,16.616,0.013,16.372,0.017,,,,,,,267.7541640,-29.0659412,2.5789398158753283
GB08740499,4523.197,0.091,4952.877,0.067,24.296,,21.340,,2,HD43_ACSWFC,19.855,0.020,18.448,0.020,18.135,0.034,17.951,0.053,,,,,,,267.7555681,-29.0651310,2.7176976053645494
GB12367729,4634.856,0.029,4960.596,0.092,,,21.831,0.008,2,HD43_ACSWFC,19.983,0.022,18.198,0.017,17.836,0.028,17.464,0.037,,,,,,,267.7541456,-29.0650443,2.7771423176324004
GB14566791,4620.806,0.155,4975.807,0.108,25.266,0.061,22.106,0.062,4,HD43_ACSWFC,20.159,0.025,18.418,0.029,17.986,0.037,17.773,0.055,,,,,,,267.7543242,-29.0648752,2.8435391823988985
GB00201493,4599.333,0.065,4847.969,0.026,17.955,0.003,16.640,0.003,4,HD43_ACSWFC,15.761,0.002,14.944,0.003,14.788,0.005,14.707,0.007,,,4057339301201887872,17.532,18.429,16.677,267.7545983,-29.0662960,2.86277725311242
GB03614610,4583.902,0.041,4989.431,0.037,22.603,0.008,20.356,0.025,4,HD43_ACSWFC,19.019,0.012,17.659,0.012,17.356,0.020,17.099,0.029,,,,,,,267.7547931,-29.0647236,2.89780678563084
GB20005226,4616.423,0.366,4982.097,0.227,,,22.840,0.034,2,HD43_ACSWFC,21.168,0.071,19.162,0.041,18.884,0.072,18.578,0.101,,,,,,,267.7543797,-29.0648052,2.967185995332401
GB18079979,4648.805,0.041,4878.253,0.126,,,22.555,0.029,2,HD43_ACSWFC,20.496,0.032,18.626,0.022,18.224,0.037,18.064,0.058,,,,,,,267.7539691,-29.0659596,3.1323949233520505
GB15753120,4552.108,0.069,4990.604,0.043,,,22.254,0.011,2,HD43_ACSWFC,20.251,0.027,18.409,0.019,18.149,0.035,17.782,0.047,,,,,,,267.7551972,-29.0647105,3.157130455171213
GB17133812,4630.971,0.106,4978.999,0.279,25.412,,22.430,,2,HD43_ACSWFC,20.631,0.034,18.760,0.025,18.382,0.042,18.200,0.065,,,,,,,267.7541919,-29.0648385,3.1986138885914395
GB04582644,4606.870,0.076,4994.980,0.019,23.640,0.056,20.601,0.006,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7545011,-29.0646620,3.2874529162417963
GB08629851,4520.430,0.059,4986.435,0.030,24.447,,21.323,,2,HD43_ACSWFC,19.527,0.017,17.779,0.013,17.451,0.022,17.272,0.033,,,,,,,267.7556030,-29.0647580,3.6803520610743448
GB10503902,4534.273,0.250,4836.706,0.038,24.871,,21.588,,2,HD43_ACSWFC,20.126,0.024,18.856,0.026,18.517,0.046,18.289,0.069,,,,,,,267.7554284,-29.0664223,3.7250859651123913
GB15763520,4636.621,0.083,4842.385,0.048,,,22.255,0.023,2,HD43_ACSWFC,20.288,0.027,18.417,0.019,17.983,0.031,17.786,0.046,,,,,,,267.7541243,-29.0663582,3.7302616739221284
GB15013411,4554.765,0.132,5007.584,0.124,25.344,,22.161,0.079,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7551644,-29.0645220,3.7676831563507216
GB00932637,4674.916,0.024,4901.477,0.022,22.087,0.002,18.668,0.018,4,HD43_ACSWFC,16.703,0.004,14.746,0.003,14.331,0.004,14.066,0.005,,,4057339301130489600,20.210,21.410,18.198,267.7536370,-29.0657015,3.816015223100911
GB02430394,4672.315,0.068,4889.470,0.026,23.411,0.010,19.947,0.010,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7536702,-29.0658350,3.823408923593135
GB01338387,4676.119,0.058,4927.396,0.039,22.726,0.012,19.230,0.003,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7536215,-29.0654134,3.8353637327486254
GB01148989,4525.593,0.006,4996.804,0.011,22.243,,19.002,,2,HD43_ACSWFC,17.104,0.004,15.207,0.003,14.834,0.005,14.546,0.006,,,4057339301130492672,20.502,21.949,19.189,267.7555373,-29.0646427,3.880618432298189
GB10887398,4486.878,0.036,4878.637,0.149,24.898,,21.639,,2,HD43_ACSWFC,19.719,0.018,17.809,0.013,17.511,0.022,17.207,0.030,,,,,,,267.7560305,-29.0659560,4.070269214579061
GB16492379,4631.259,0.202,5011.442,0.032,,,22.347,0.018,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7541909,-29.0644791,4.282399816005465
GB07735813,4670.437,0.093,4858.207,0.062,24.445,0.013,21.187,0.020,4,HD43_ACSWFC,19.203,0.013,17.353,0.010,16.966,0.016,16.809,0.023,,,,,,,267.7536944,-29.0661824,4.289210743266684
GB03242366,4564.897,0.078,5024.708,0.016,23.800,0.018,20.245,0.015,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7550344,-29.0643314,4.353182379445921
GB15199430,4663.782,0.315,4991.458,0.174,25.365,,22.185,,2,HD43_ACSWFC,20.224,0.026,18.396,0.020,18.091,0.034,17.982,0.055,,,,,,,267.7537807,-29.0647025,4.449486799903965
GB17246298,4686.329,0.033,4879.089,0.373,,,22.444,0.033,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7534921,-29.0659504,4.48622554095288
GB01874739,4577.734,0.024,5030.341,0.033,23.042,0.013,19.662,0.030,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7548712,-29.0642689,4.533526103639765
GB00625472,4505.893,0.007,4827.401,0.007,19.608,,18.023,,2,HD43_ACSWFC,16.984,0.004,15.867,0.006,15.640,0.009,15.486,0.011,,,4057339301118943744,19.089,20.296,18.001,267.7557893,-29.0665256,4.685301227547825
GB13604826,4625.159,0.159,4808.412,0.126,25.277,0.061,21.986,0.088,4,HD43_ACSWFC,20.085,0.024,18.147,0.016,17.836,0.028,17.573,0.040,,,,,,,267.7542704,-29.0667358,4.695783408260278
GB07910041,4690.461,0.134,4959.304,0.049,24.513,0.078,21.214,0.040,4,HD43_ACSWFC,19.257,0.014,17.252,0.009,16.884,0.015,16.613,0.020,,,,,,,267.7534389,-29.0650588,4.701386476286939
GB18675412,4464.632,0.220,4939.472,0.137,,,22.637,0.066,2,HD43_ACSWFC,20.564,0.032,18.554,0.021,18.190,0.036,17.944,0.053,,,,,,,267.7563097,-29.0652786,4.731403782077032
GB17094141,4555.460,0.165,5036.080,0.084,,,22.424,0.048,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7551542,-29.0642050,4.867858806372328
GB10775534,4531.689,0.171,5029.898,0.151,24.961,,21.624,,2,HD43_ACSWFC,19.692,0.018,17.903,0.014,17.565,0.023,17.271,0.032,,,,,,,267.7554594,-29.0642749,4.9218189775684555
GB10553443,4466.912,0.060,4868.803,0.123,25.308,0.038,21.594,0.060,4,HD43_ACSWFC,19.586,0.017,17.516,0.011,17.114,0.017,16.825,0.023,,,,,,,267.7562814,-29.0660640,4.948569396098941
GB10617961,4637.295,0.216,4805.609,0.072,24.993,0.016,21.603,0.019,4,HD43_ACSWFC,19.702,0.019,17.790,0.014,17.474,0.023,17.246,0.034,,,,,,,267.7541162,-29.0667670,4.999428562388374
GB01461982,4552.472,0.024,4794.927,0.006,23.035,,19.353,,2,HD43_ACSWFC,17.181,0.004,14.993,0.003,14.558,0.004,14.240,0.005,,,,20.765,,,267.7551975,-29.0668867,5.024530306899199
GB01726693,4510.717,0.004,4813.129,0.016,23.457,,19.565,,2,HD43_ACSWFC,17.299,0.005,15.025,0.003,14.584,0.004,14.228,0.005,,,,,,,267.7557281,-29.0666843,5.026084873152834
GB15979909,4704.566,0.154,4938.892,0.149,25.219,0.112,22.282,0.053,4,HD43_ACSWFC,20.413,0.029,18.588,0.022,18.377,0.042,18.073,0.059,,,,,,,267.7532598,-29.0652857,5.027446645043684
GB18178605,4705.977,0.180,4931.252,0.046,,,22.568,0.044,2,HD43_ACSWFC,20.597,0.042,18.816,0.032,18.475,0.053,18.073,0.070,,,,,,,267.7532418,-29.0653707,5.03979954810605
GB03306869,4535.260,0.016,4799.604,0.048,22.484,,20.265,,2,HD43_ACSWFC,18.974,0.012,17.612,0.012,17.263,0.019,17.005,0.027,,,,,,,267.7554162,-29.0668347,5.0497557080402675
GB15435105,4454.225,0.024,4910.594,0.060,,,22.214,0.018,2,HD43_ACSWFC,20.065,0.023,17.892,0.014,17.433,0.021,17.074,0.027,,,,,,,267.7564422,-29.0655995,5.069091012755032
GB16375522,4661.246,0.136,4819.074,0.063,25.362,,22.332,0.028,3,HD43_ACSWFC,20.281,0.027,18.386,0.019,18.061,0.033,17.741,0.045,,,,,,,267.7538104,-29.0666171,5.073378402696717
GB00103757,4591.915,0.019,5043.396,0.029,20.363,0.017,15.982,0.017,4,HD43_ACSWFC,13.711,0.001,11.357,0.001,10.845,0.001,10.472,0.001,,,4057339301201892224,17.554,21.481,15.870,267.7546908,-29.0641238,5.074180299248394
GB13089601,4455.333,0.110,4938.650,0.061,25.426,0.154,21.922,0.009,4,HD43_ACSWFC,19.888,0.020,17.886,0.014,17.485,0.022,17.290,0.032,,,,,,,267.7564279,-29.0652877,5.091414667515526
